Entity,Time,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct
REIT,2022-01-01,3.4450000000000003,1920.0,4.0,282.543,145.67000000000002,59.7,,,,,,
REIT,2022-02-01,3.7625,1857.0,3.9,284.5,127.98964285714285,59.9,3.4450000000000003,,,,,
REIT,2022-03-01,4.172,1868.0,3.7,287.674,186.61451612903227,60.1,3.7625,3.4450000000000003,,,,
REIT,2022-04-01,4.9825,1859.0,3.7,288.561,136.31366666666665,59.9,4.172,3.7625,3.4450000000000003,,,
REIT,2022-05-01,5.2299999999999995,1704.0,3.6,291.298,133.7783870967742,60.1,4.9825,4.172,3.7625,,,
REIT,2022-06-01,5.522,1737.0,3.6,294.957,133.46733333333333,59.9,5.2299999999999995,4.9825,4.172,,,
REIT,2022-07-01,5.4125,1703.0,3.5,294.913,146.90064516129033,60.0,5.522,5.2299999999999995,4.9825,,,
REIT,2022-08-01,5.2225,1557.0,3.6,295.097,119.1632258064516,60.1,5.4125,5.522,5.2299999999999995,,,
REIT,2022-09-01,6.112,1600.0,3.5,296.349,109.556,60.1,5.2225,5.4125,5.522,,,
REIT,2022-10-01,6.9,1594.0,3.6,298.007,139.82999999999998,60.0,6.112,5.2225,5.4125,,,
REIT,2022-11-01,6.805,1401.0,3.6,298.786,147.65466666666669,59.9,6.9,6.112,5.2225,,,
REIT,2022-12-01,6.364,1410.0,3.5,298.832,132.44451612903225,60.1,6.805,6.9,6.112,,,
