Month,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct
2000-01-01,8.21,1727.0,4.0,169.3,57.54838709677419,64.6
2000-02-01,8.325,1692.0,4.1,170.0,50.603793103448275,64.6
2000-03-01,8.24,1651.0,4.0,171.0,64.99451612903225,64.6
2000-04-01,8.1525,1597.0,3.8,170.9,59.75833333333333,64.7
2000-05-01,8.515,1543.0,4.0,171.2,77.52,64.4
2000-06-01,8.288,1572.0,4.0,172.2,67.236,64.5
2000-07-01,8.1475,1542.0,4.0,172.7,53.874516129032266,64.2
2000-08-01,8.0275,1552.0,4.1,172.7,47.63967741935484,64.2
2000-09-01,7.912000000000001,1570.0,3.9,173.6,67.98733333333334,64.2
2000-10-01,7.795,1577.0,3.9,173.9,67.58645161290322,64.2
2000-11-01,7.745,1614.0,3.9,174.2,138.21633333333332,64.3
2000-12-01,7.382,1543.0,3.9,174.6,124.63064516129033,64.4
2001-01-01,7.0325,1699.0,4.2,175.6,123.21387096774194,64.4
2001-02-01,7.05,1656.0,4.2,176.0,122.26107142857143,64.3
2001-03-01,6.952,1659.0,4.3,176.1,124.46225806451612,64.3
2001-04-01,7.0775,1666.0,4.4,176.4,105.17433333333334,64.0
2001-05-01,7.145,1665.0,4.3,177.3,96.31193548387097,63.8
2001-06-01,7.159999999999999,1626.0,4.5,177.7,70.57433333333333,63.7
2001-07-01,7.1275,1598.0,4.6,177.4,91.89645161290322,63.7
2001-08-01,6.95,1615.0,4.9,177.4,80.83741935483872,63.2
2001-09-01,6.8175,1565.0,5.0,178.1,234.57433333333333,63.5
2001-10-01,6.6175,1566.0,5.3,177.6,236.40612903225806,63.2
2001-11-01,6.6579999999999995,1651.0,5.5,177.5,154.38666666666668,63.0
2001-12-01,7.0649999999999995,1680.0,5.7,177.4,127.57193548387097,62.9
2002-01-01,6.9975,1665.0,5.7,177.7,141.64290322580646,62.7
2002-02-01,6.8925,1787.0,5.7,178.0,86.75392857142857,63.0
2002-03-01,7.014,1691.0,5.7,178.5,94.4274193548387,62.8
2002-04-01,6.985,1669.0,5.9,179.3,74.52199999999999,62.7
2002-05-01,6.806,1716.0,5.8,179.5,89.6558064516129,62.9
2002-06-01,6.65,1758.0,5.8,179.6,87.07466666666666,62.7
2002-07-01,6.485,1738.0,5.8,180.0,126.56032258064516,62.7
2002-08-01,6.29,1695.0,5.7,180.5,114.96,62.7
2002-09-01,6.0925,1803.0,5.7,180.8,138.87133333333335,63.0
2002-10-01,6.1125,1799.0,5.7,181.2,113.34322580645161,62.7
2002-11-01,6.068,1771.0,5.9,181.5,136.54799999999997,62.5
2002-12-01,6.0475,1896.0,6.0,181.8,153.67129032258066,62.4
2003-01-01,5.9159999999999995,1808.0,5.8,182.6,184.77193548387098,62.5
2003-02-01,5.8425,1854.0,5.9,183.6,192.12321428571428,62.5
2003-03-01,5.745,1757.0,5.9,183.9,212.56935483870967,62.4
2003-04-01,5.8125,1803.0,6.0,183.2,135.47866666666667,62.4
2003-05-01,5.484,1835.0,6.1,182.9,116.63935483870968,62.3
2003-06-01,5.23,1875.0,6.3,183.1,89.30199999999999,62.3
2003-07-01,5.6325,1885.0,6.2,183.7,82.49387096774193,62.1
2003-08-01,6.264,1966.0,6.1,184.5,89.77354838709678,62.1
2003-09-01,6.1475,1961.0,6.1,185.1,96.15799999999999,62.0
2003-10-01,5.952,2012.0,6.0,184.9,65.80032258064516,62.1
2003-11-01,5.9325,1918.0,5.8,185.0,61.467,62.3
2003-12-01,5.8759999999999994,1987.0,5.7,185.5,73.56870967741936,62.2
2004-01-01,5.7125,1952.0,5.7,186.3,93.05129032258066,62.3
2004-02-01,5.635,1966.0,5.6,186.7,83.24655172413793,62.3
2004-03-01,5.445,2066.0,5.8,187.1,63.193225806451615,62.2
2004-04-01,5.83,2070.0,5.6,187.4,59.875,62.3
2004-05-01,6.27,2150.0,5.6,188.2,76.70161290322581,62.3
2004-06-01,6.2875,2020.0,5.6,188.9,79.36333333333333,62.4
2004-07-01,6.056,2112.0,5.5,189.1,60.95,62.5
2004-08-01,5.8675,2056.0,5.4,189.2,70.37935483870967,62.4
2004-09-01,5.754,2041.0,5.4,189.8,75.086,62.3
2004-10-01,5.7225,2097.0,5.5,190.8,102.47483870967741,62.3
2004-11-01,5.73,2079.0,5.4,191.7,72.18733333333333,62.5
2004-12-01,5.752,2082.0,5.4,191.7,40.12580645161291,62.4
2005-01-01,5.71,2139.0,5.3,191.6,66.99064516129032,62.4
2005-02-01,5.6275,2114.0,5.4,192.4,63.730357142857144,62.4
2005-03-01,5.928,2062.0,5.2,193.1,55.76258064516129,62.4
2005-04-01,5.855,2150.0,5.2,193.7,66.458,62.7
2005-05-01,5.72,2085.0,5.1,193.6,73.0741935483871,62.8
2005-06-01,5.582,2178.0,5.0,193.7,59.68933333333334,62.7
2005-07-01,5.695,2203.0,5.0,194.9,50.884838709677425,62.8
2005-08-01,5.82,2219.0,4.9,196.1,56.08838709677419,62.9
2005-09-01,5.774,2263.0,5.0,198.8,85.24833333333332,62.8
2005-10-01,6.065,2170.0,5.0,199.1,62.99677419354839,62.8
2005-11-01,6.33,2218.0,5.0,198.1,48.773,62.7
